invoice_id,supplier_id,invoice_date,invoice_amount,approved_amount,payment_delay_days,invoice_error_flag
INV000001,SUP001,2025-01-10,164542.92,164542.92,8,0
INV000002,SUP001,2025-01-23,139704.21,139704.21,3,0
INV000003,SUP001,2025-01-22,154694.8,154694.8,4,0
INV000004,SUP001,2025-01-06,151403.56,151403.56,14,0
INV000005,SUP001,2025-01-02,269275.62,269275.62,1,0
INV000006,SUP001,2025-01-06,123350.85,123350.85,0,0
INV000007,SUP001,2025-01-08,148244.23,148244.23,6,0
INV000008,SUP001,2025-01-13,287434.55,287434.55,14,0
INV000009,SUP001,2025-01-17,80775.16,80775.16,0,0
INV000010,SUP001,2025-02-25,134860.79,134860.79,6,0
INV000011,SUP001,2025-02-14,216366.42,216366.42,3,0
INV000012,SUP001,2025-02-23,149375.92,149375.92,9,0
INV000013,SUP001,2025-02-17,100781.75,98274.38,5,1
INV000014,SUP001,2025-02-16,99627.62,98507.38,5,1
INV000015,SUP001,2025-02-18,107119.34,107119.34,6,0
INV000016,SUP001,2025-02-02,161460.59,161460.59,0,0
INV000017,SUP001,2025-02-14,84347.55,84347.55,2,0
INV000018,SUP001,2025-02-26,198104.58,198104.58,2,0
INV000019,SUP001,2025-03-07,115297.02,115297.02,10,0
INV000020,SUP001,2025-03-17,120380.07,120380.07,0,0
INV000021,SUP001,2025-03-02,132124.21,132124.21,0,0
INV000022,SUP001,2025-03-18,66615.66,66615.66,7,0
INV000023,SUP001,2025-03-24,106905.29,106905.29,0,0
INV000024,SUP001,2025-03-02,139260.21,139260.21,7,0
INV000025,SUP001,2025-03-05,95865.23,95865.23,8,0
INV000026,SUP001,2025-04-22,225454.49,225454.49,2,0
INV000027,SUP001,2025-04-07,65502.47,65502.47,3,0
INV000028,SUP001,2025-04-02,92224.87,92224.87,2,0
INV000029,SUP001,2025-04-04,100761.0,100761.0,0,0
INV000030,SUP001,2025-04-03,119924.31,119924.31,0,0
INV000031,SUP001,2025-04-08,261770.99,261770.99,2,0
INV000032,SUP001,2025-04-06,106353.93,106353.93,1,0
INV000033,SUP001,2025-04-07,84996.55,84996.55,5,0
INV000034,SUP001,2025-04-07,359282.02,359282.02,5,0
INV000035,SUP001,2025-04-15,96565.68,96565.68,3,0
INV000036,SUP001,2025-04-01,127162.37,127162.37,5,0
INV000037,SUP001,2025-04-09,175731.56,175731.56,5,0
INV000038,SUP001,2025-04-09,201025.25,201025.25,5,0
INV000039,SUP001,2025-05-25,121859.97,121859.97,4,0
INV000040,SUP001,2025-05-02,180591.13,180591.13,12,0
INV000041,SUP001,2025-05-23,97553.1,97553.1,0,0
INV000042,SUP001,2025-05-22,66457.88,66457.88,6,0
INV000043,SUP001,2025-05-09,96771.81,96771.81,3,0
INV000044,SUP001,2025-05-16,84118.76,84118.76,3,0
INV000045,SUP001,2025-05-08,185115.71,180898.01,9,1
INV000046,SUP001,2025-05-06,142360.38,142360.38,6,0
