supplier_id,supplier_name,category,region,criticality,preferred_supplier,onboarding_date,archetype,primary_issue_driver
SUP001,BluePeak Solutions,Hardware,South,Low,No,2022-08-02,Low-Cost Risky,material availability constraints
SUP002,Nimbus Technologies,Marketing,West,Low,Yes,2021-05-27,High-Cost High-Quality,material availability constraints
SUP003,Summit Industries,Cloud/SaaS,Central,Low,No,2023-01-11,Reliable,logistics network disruption
SUP004,Nimbus Partners,Professional Services,West,Medium,No,2023-03-03,Low-Cost Risky,warehouse staffing shortage
SUP005,Nexus Partners,Telecom,East,Low,Yes,2021-09-27,Reliable,capacity constraints
SUP006,BluePeak Technologies,Office Supplies,North,Medium,Yes,2021-01-11,High-Cost High-Quality,capacity constraints
SUP007,Sterling Systems,IT Services,West,Medium,No,2021-12-26,Low-Cost Risky,subcontractor performance issues
SUP008,Vertex Global,Hardware,Central,High,Yes,2021-06-05,Reliable,capacity constraints
SUP009,Horizon Industries,Logistics,North,Medium,No,2020-07-07,Reliable,invoice processing errors
SUP010,Vertex Industries,Logistics,West,Medium,No,2022-06-17,Low-Cost Risky,capacity constraints
SUP011,Nexus Enterprises,Telecom,South,Medium,No,2019-05-16,Deteriorating,material availability constraints
SUP012,Sterling Services,Cloud/SaaS,South,Low,No,2024-04-25,High-Cost High-Quality,subcontractor performance issues
SUP013,Atlas Global,Professional Services,East,High,Yes,2021-09-22,Reliable,warehouse staffing shortage
SUP014,Prime Solutions,Telecom,West,Medium,Yes,2019-03-29,Reliable,logistics network disruption
SUP015,Horizon Enterprises,Professional Services,West,Medium,No,2021-01-03,Low-Cost Risky,system integration delays
SUP016,Orion Systems,Facilities,South,Medium,No,2024-04-19,Deteriorating,high employee turnover
SUP017,Atlas Works,Office Supplies,Central,Medium,No,2019-06-02,Deteriorating,logistics network disruption
SUP018,Orion Global,Staffing,North,High,Yes,2021-07-28,Reliable,material availability constraints
SUP019,Orion Services,Office Supplies,Central,Low,No,2020-10-22,Deteriorating,subcontractor performance issues
SUP020,Sterling Group,Cloud/SaaS,East,High,No,2020-03-29,Improving,warehouse staffing shortage
SUP021,BluePeak Global,Hardware,East,Low,No,2019-11-18,Deteriorating,subcontractor performance issues
SUP022,Nexus Group,IT Services,East,High,No,2023-07-24,Low-Cost Risky,quality-control process gaps
SUP023,Pioneer Technologies,Hardware,Central,Medium,No,2023-03-16,Deteriorating,quality-control process gaps
SUP024,Evergreen Services,Cloud/SaaS,Central,High,No,2023-07-23,Low-Cost Risky,forecasting and planning gaps
SUP025,Quantum Group,IT Services,North,High,No,2023-12-02,Deteriorating,invoice processing errors
SUP026,Prime Works,Logistics,North,Medium,No,2020-07-30,Low-Cost Risky,material availability constraints
SUP027,Nimbus Services,Facilities,West,High,Yes,2023-05-29,Reliable,quality-control process gaps
