supplier_id,month,sla_compliance,on_time_delivery_rate,defect_rate,invoice_accuracy,avg_resolution_days,escalation_count,order_fulfillment_rate
SUP001,2025-01-01,89.42,90.76,5.19,91.28,6.25,2,89.99
SUP001,2025-02-01,91.79,89.3,6.17,90.33,5.78,3,88.07
SUP001,2025-03-01,88.86,89.45,5.57,91.68,6.52,4,88.75
SUP001,2025-04-01,90.62,88.03,5.9,92.1,7.59,5,86.57
SUP001,2025-05-01,89.39,88.41,4.69,91.76,5.09,3,87.01
SUP001,2025-06-01,89.75,86.61,5.08,93.56,4.95,2,87.05
SUP001,2025-07-01,88.95,88.87,6.86,91.04,5.69,3,89.47
SUP001,2025-08-01,88.62,87.61,6.05,91.36,6.2,3,87.11
SUP001,2025-09-01,87.69,88.0,5.89,93.45,6.98,1,88.39
SUP001,2025-10-01,89.71,87.75,6.22,90.35,6.54,6,87.45
SUP001,2025-11-01,88.54,89.36,4.56,91.53,6.02,1,90.26
SUP001,2025-12-01,88.95,89.91,5.15,92.38,5.68,2,88.37
SUP001,2026-01-01,89.57,90.24,6.66,92.02,7.14,4,88.95
SUP001,2026-02-01,87.86,89.34,5.92,92.57,6.45,1,90.1
SUP001,2026-03-01,89.35,87.02,5.76,92.82,6.38,4,86.27
SUP001,2026-04-01,90.78,89.37,4.8,91.82,5.99,4,90.13
SUP001,2026-05-01,90.97,88.88,6.55,91.1,6.52,4,88.49
SUP001,2026-06-01,88.72,88.53,6.65,90.68,5.88,9,86.17
SUP002,2025-01-01,95.53,99.42,0.95,99.09,2.62,1,100.0
SUP002,2025-02-01,97.32,98.31,1.49,99.22,0.71,2,97.44
SUP002,2025-03-01,99.34,98.21,1.62,99.18,2.07,0,97.85
SUP002,2025-04-01,98.86,99.2,0.98,99.42,1.51,0,98.04
SUP002,2025-05-01,96.24,96.34,0.38,97.13,1.23,2,94.97
SUP002,2025-06-01,99.76,97.65,1.94,99.07,1.11,0,98.33
SUP002,2025-07-01,96.81,96.87,1.64,100.0,0.73,0,97.2
SUP002,2025-08-01,97.98,96.77,0.19,99.74,1.28,0,97.12
SUP002,2025-09-01,96.39,97.2,1.1,99.26,1.95,1,97.88
SUP002,2025-10-01,98.26,96.1,1.81,99.31,1.61,0,94.04
SUP002,2025-11-01,99.53,96.73,1.29,99.86,1.11,0,96.25
SUP002,2025-12-01,97.8,95.85,0.33,97.34,0.92,0,95.59
SUP002,2026-01-01,100.0,98.77,0.67,99.28,1.42,0,98.13
SUP002,2026-02-01,98.95,97.29,1.79,98.09,1.7,0,96.62
SUP002,2026-03-01,100.0,98.15,1.52,98.95,1.58,1,98.33
SUP002,2026-04-01,99.4,99.55,1.4,98.77,2.02,0,98.3
SUP002,2026-05-01,96.42,97.59,0.11,97.8,2.65,0,97.67
SUP002,2026-06-01,96.51,93.88,0.9,100.0,2.0,0,93.01
SUP003,2025-01-01,95.41,94.88,1.75,98.63,2.44,0,94.93
SUP003,2025-02-01,97.18,97.27,1.27,97.29,3.14,0,95.65
SUP003,2025-03-01,95.94,97.34,1.87,98.21,3.3,0,97.59
SUP003,2025-04-01,96.04,96.14,0.94,98.51,1.82,0,97.55
SUP003,2025-05-01,95.54,93.25,1.35,98.2,2.07,0,92.88
SUP003,2025-06-01,96.39,93.84,2.19,98.53,2.47,0,93.1
SUP003,2025-07-01,98.09,94.64,1.63,97.4,1.48,0,94.85
SUP003,2025-08-01,95.27,94.79,1.83,97.39,2.83,0,94.41
SUP003,2025-09-01,94.31,94.77,1.9,96.84,2.15,0,94.99
SUP003,2025-10-01,95.17,92.06,2.53,99.0,2.02,1,92.49
SUP003,2025-11-01,94.72,92.66,2.19,99.6,1.38,0,91.98
SUP003,2025-12-01,97.2,92.76,1.94,99.46,1.04,0,92.6
SUP003,2026-01-01,95.15,95.81,1.93,96.58,2.56,1,95.81
SUP003,2026-02-01,95.42,95.85,2.22,98.36,1.02,0,96.18
SUP003,2026-03-01,96.71,93.59,2.05,97.35,1.3,1,93.58
SUP003,2026-04-01,98.22,94.98,1.82,98.22,1.77,0,94.91
SUP003,2026-05-01,95.97,97.22,1.23,96.07,3.33,1,98.26
SUP003,2026-06-01,95.79,94.78,1.7,97.11,2.61,0,95.47
SUP004,2025-01-01,92.92,89.78,5.61,91.89,6.23,4,87.8
SUP004,2025-02-01,90.68,92.06,5.21,92.44,6.03,2,91.81
SUP004,2025-03-01,89.15,90.09,5.34,91.67,5.76,1,89.2
SUP004,2025-04-01,90.52,86.81,6.28,92.13,5.33,2,84.4
SUP004,2025-05-01,91.42,90.47,5.78,92.54,6.28,5,89.34
SUP004,2025-06-01,92.28,89.0,5.65,92.11,5.68,0,90.3
SUP004,2025-07-01,89.13,88.11,4.63,91.06,5.22,2,88.43
SUP004,2025-08-01,89.53,90.02,5.39,91.08,6.26,2,88.96
SUP004,2025-09-01,88.04,88.27,5.82,90.8,4.78,4,89.6
SUP004,2025-10-01,87.32,86.91,6.76,91.97,6.42,1,86.05
SUP004,2025-11-01,89.13,88.86,5.87,91.94,6.01,1,89.66
SUP004,2025-12-01,86.69,89.67,6.65,90.88,4.6,0,88.42
SUP004,2026-01-01,91.67,89.37,5.81,90.95,5.92,4,89.6
SUP004,2026-02-01,90.9,89.85,6.27,92.64,6.37,1,89.08
SUP004,2026-03-01,88.08,89.35,5.74,90.58,7.11,4,88.69
SUP004,2026-04-01,88.9,89.8,6.1,90.54,5.91,0,87.86
SUP004,2026-05-01,91.0,89.12,6.22,91.59,5.81,2,89.62
SUP004,2026-06-01,90.19,89.24,5.12,91.43,6.66,2,89.42
SUP005,2025-01-01,96.53,95.63,2.51,98.88,2.11,1,94.95
SUP005,2025-02-01,96.3,94.78,1.94,97.6,1.76,1,94.09
SUP005,2025-03-01,97.14,94.34,1.54,99.15,1.39,0,95.33
SUP005,2025-04-01,96.97,95.97,1.74,98.97,0.5,1,96.38
SUP005,2025-05-01,96.39,94.85,1.31,97.74,3.2,1,92.82
SUP005,2025-06-01,96.57,97.81,1.75,98.1,2.46,0,96.63
SUP005,2025-07-01,95.32,96.39,1.6,97.61,2.84,0,95.67
SUP005,2025-08-01,95.75,95.17,2.03,96.45,2.67,0,95.82
SUP005,2025-09-01,95.37,94.55,1.42,98.66,1.26,0,94.52
SUP005,2025-10-01,95.28,94.7,1.25,98.58,2.24,0,95.76
SUP005,2025-11-01,95.43,94.15,1.74,97.98,2.36,3,93.42
SUP005,2025-12-01,97.16,94.17,0.42,96.64,1.62,0,94.0
SUP005,2026-01-01,96.18,94.73,2.38,97.46,1.6,0,95.46
SUP005,2026-02-01,96.98,95.67,1.72,99.27,1.76,0,95.35
SUP005,2026-03-01,95.36,95.92,1.21,97.4,2.48,0,95.91
SUP005,2026-04-01,98.07,97.44,2.59,98.42,3.15,0,97.19
SUP005,2026-05-01,95.83,95.98,1.49,97.87,3.52,0,95.15
SUP005,2026-06-01,96.27,95.63,1.8,98.36,3.02,1,94.66
