event_id,timestamp,user_id,route,query_type,prompt_version,answer_accepted,thumbs_up,regenerated,latency_ms
EVT_00001,2026-06-01 02:18:00,USER_002,SQL,KPI Lookup,V2,1,0,0,555.0
EVT_00002,2026-05-06 14:24:00,USER_021,RAG,Issue Investigation,V1,1,1,0,2271.0
EVT_00003,2026-05-24 13:27:00,USER_056,HYBRID,Supplier Diagnosis,V1,1,1,1,2758.0
EVT_00004,2026-05-30 21:16:00,USER_030,SQL,KPI Lookup,V1,0,0,0,957.0
EVT_00005,2026-06-10 19:11:00,USER_031,SQL,KPI Lookup,V2,1,1,0,700.0
EVT_00006,2026-05-19 02:03:00,USER_079,RAG,Issue Investigation,V2,1,1,0,1956.0
EVT_00007,2026-05-09 02:18:00,USER_008,HYBRID,Supplier Diagnosis,V2,1,1,0,2668.0
EVT_00008,2026-05-01 11:38:00,USER_030,HYBRID,Supplier Diagnosis,V1,0,1,0,1957.0
EVT_00009,2026-06-08 11:39:00,USER_075,SQL,KPI Lookup,V1,0,1,1,723.0
EVT_00010,2026-06-07 04:56:00,USER_074,SQL,KPI Lookup,V2,1,1,0,975.0
EVT_00011,2026-05-22 01:01:00,USER_005,SQL,KPI Lookup,V2,1,1,0,959.0
EVT_00012,2026-05-23 15:40:00,USER_081,SQL,KPI Lookup,V2,1,1,0,1215.0
EVT_00013,2026-05-28 07:12:00,USER_009,HYBRID,Supplier Diagnosis,V2,1,1,0,2056.0
EVT_00014,2026-06-18 13:49:00,USER_006,RAG,Issue Investigation,V2,1,1,0,1959.0
EVT_00015,2026-06-09 15:25:00,USER_004,RAG,Issue Investigation,V1,0,0,0,2021.0
EVT_00016,2026-05-17 23:28:00,USER_086,RAG,Issue Investigation,V2,0,0,0,1585.0
EVT_00017,2026-05-30 01:25:00,USER_092,SQL,KPI Lookup,V1,1,1,0,1313.0
EVT_00018,2026-05-28 09:14:00,USER_070,SQL,KPI Lookup,V2,0,0,0,355.0
EVT_00019,2026-06-24 00:28:00,USER_012,HYBRID,Supplier Diagnosis,V1,0,1,0,2594.0
EVT_00020,2026-05-19 23:54:00,USER_093,SQL,KPI Lookup,V2,0,1,0,682.0
EVT_00021,2026-06-26 19:02:00,USER_045,RAG,Issue Investigation,V2,1,1,0,1620.0
EVT_00022,2026-06-04 03:56:00,USER_081,HYBRID,Supplier Diagnosis,V2,1,0,1,2587.0
EVT_00023,2026-05-13 00:13:00,USER_027,HYBRID,Supplier Diagnosis,V1,0,0,1,2310.0
EVT_00024,2026-06-06 20:05:00,USER_021,SQL,KPI Lookup,V1,0,0,0,583.0
EVT_00025,2026-06-22 17:01:00,USER_004,SQL,KPI Lookup,V2,0,0,1,752.0
EVT_00026,2026-05-27 09:29:00,USER_009,RAG,Issue Investigation,V2,0,0,0,1535.0
EVT_00027,2026-06-24 09:52:00,USER_094,SQL,KPI Lookup,V2,1,1,0,682.0
EVT_00028,2026-05-06 18:51:00,USER_034,SQL,KPI Lookup,V2,0,0,0,968.0
EVT_00029,2026-05-04 19:30:00,USER_049,RAG,Issue Investigation,V1,1,1,0,1550.0
EVT_00030,2026-05-21 15:08:00,USER_092,SQL,KPI Lookup,V1,1,0,0,599.0
EVT_00031,2026-05-30 21:02:00,USER_061,HYBRID,Supplier Diagnosis,V2,1,1,0,2311.0
EVT_00032,2026-05-27 22:01:00,USER_088,HYBRID,Supplier Diagnosis,V2,1,1,0,2191.0
EVT_00033,2026-06-27 22:32:00,USER_087,RAG,Issue Investigation,V1,1,1,0,1669.0
EVT_00034,2026-06-14 13:54:00,USER_026,HYBRID,Supplier Diagnosis,V1,1,1,0,2356.0
EVT_00035,2026-06-16 14:41:00,USER_055,SQL,KPI Lookup,V2,1,0,0,452.0
EVT_00036,2026-06-17 08:43:00,USER_064,RAG,Issue Investigation,V1,1,1,0,1309.0
EVT_00037,2026-05-28 11:00:00,USER_039,SQL,KPI Lookup,V2,1,1,0,502.0
EVT_00038,2026-05-25 02:52:00,USER_085,SQL,KPI Lookup,V1,1,1,0,682.0
EVT_00039,2026-06-29 18:14:00,USER_099,HYBRID,Supplier Diagnosis,V2,0,0,0,2619.0
EVT_00040,2026-05-18 17:32:00,USER_017,RAG,Issue Investigation,V2,1,1,0,1877.0
EVT_00041,2026-05-20 04:20:00,USER_076,HYBRID,Supplier Diagnosis,V2,0,0,0,2445.0
EVT_00042,2026-05-09 22:29:00,USER_060,SQL,KPI Lookup,V1,1,1,0,875.0
EVT_00043,2026-06-26 17:16:00,USER_008,HYBRID,Supplier Diagnosis,V1,0,0,0,2171.0
EVT_00044,2026-05-05 19:51:00,USER_009,HYBRID,Supplier Diagnosis,V1,1,1,0,2294.0
EVT_00045,2026-06-23 11:31:00,USER_053,HYBRID,Supplier Diagnosis,V2,0,0,0,2146.0
EVT_00046,2026-05-10 10:31:00,USER_055,HYBRID,Supplier Diagnosis,V1,0,1,0,2104.0
EVT_00047,2026-06-07 04:45:00,USER_020,SQL,KPI Lookup,V1,1,1,0,1052.0
EVT_00048,2026-06-04 04:31:00,USER_058,RAG,Issue Investigation,V1,0,0,1,1644.0
EVT_00049,2026-06-23 16:18:00,USER_099,HYBRID,Supplier Diagnosis,V2,1,1,0,2658.0
EVT_00050,2026-05-24 21:10:00,USER_009,SQL,KPI Lookup,V2,1,0,0,706.0
EVT_00051,2026-05-10 09:15:00,USER_011,SQL,KPI Lookup,V1,0,0,1,742.0
EVT_00052,2026-06-09 10:18:00,USER_095,RAG,Issue Investigation,V2,0,0,1,1543.0
EVT_00053,2026-06-19 21:19:00,USER_051,HYBRID,Supplier Diagnosis,V2,1,0,1,2247.0
EVT_00054,2026-05-25 18:17:00,USER_054,SQL,KPI Lookup,V1,1,0,0,1207.0
EVT_00055,2026-06-10 06:00:00,USER_091,HYBRID,Supplier Diagnosis,V1,0,0,0,2361.0
EVT_00056,2026-06-03 13:24:00,USER_028,HYBRID,Supplier Diagnosis,V2,1,1,0,2569.0
EVT_00057,2026-05-17 13:51:00,USER_055,SQL,KPI Lookup,V1,1,1,0,1174.0
EVT_00058,2026-05-26 00:07:00,USER_033,HYBRID,Supplier Diagnosis,V1,0,0,0,2320.0
EVT_00059,2026-06-10 05:30:00,USER_092,RAG,Issue Investigation,V1,1,1,0,1678.0
EVT_00060,2026-06-12 15:17:00,USER_095,SQL,KPI Lookup,V1,1,1,1,842.0
EVT_00061,2026-06-29 22:20:00,USER_030,SQL,KPI Lookup,V1,1,0,0,638.0
EVT_00062,2026-05-18 22:24:00,USER_059,SQL,KPI Lookup,V2,1,1,0,880.0
EVT_00063,2026-06-12 05:52:00,USER_012,SQL,KPI Lookup,V2,0,1,1,928.0
EVT_00064,2026-06-28 15:20:00,USER_070,HYBRID,Supplier Diagnosis,V2,1,1,0,1971.0
EVT_00065,2026-05-14 18:55:00,USER_095,HYBRID,Supplier Diagnosis,V2,1,1,0,2055.0
EVT_00066,2026-06-23 10:13:00,USER_090,HYBRID,Supplier Diagnosis,V1,0,0,1,2462.0
EVT_00067,2026-06-02 04:52:00,USER_069,RAG,Issue Investigation,V1,1,0,0,1693.0
EVT_00068,2026-06-22 00:51:00,USER_056,SQL,KPI Lookup,V2,1,1,0,368.0
EVT_00069,2026-05-25 16:36:00,USER_018,RAG,Issue Investigation,V1,0,1,0,1611.0
EVT_00070,2026-06-15 21:15:00,USER_042,RAG,Issue Investigation,V2,1,1,0,2021.0
EVT_00071,2026-06-27 10:23:00,USER_043,SQL,KPI Lookup,V2,0,0,0,870.0
EVT_00072,2026-06-22 03:15:00,USER_037,HYBRID,Supplier Diagnosis,V1,0,0,0,2402.0
EVT_00073,2026-05-20 11:13:00,USER_006,HYBRID,Supplier Diagnosis,V2,1,1,0,2213.0
EVT_00074,2026-06-13 01:37:00,USER_058,SQL,KPI Lookup,V2,1,1,0,982.0
EVT_00075,2026-06-10 23:41:00,USER_012,RAG,Issue Investigation,V2,1,1,1,1716.0
EVT_00076,2026-06-29 01:14:00,USER_075,SQL,KPI Lookup,V2,1,0,0,767.0
EVT_00077,2026-06-16 23:23:00,USER_088,HYBRID,Supplier Diagnosis,V1,1,1,0,2451.0
EVT_00078,2026-06-27 07:13:00,USER_081,RAG,Issue Investigation,V2,1,0,1,1988.0
EVT_00079,2026-05-11 02:01:00,USER_028,SQL,KPI Lookup,V2,1,0,0,857.0
EVT_00080,2026-05-06 04:52:00,USER_007,HYBRID,Supplier Diagnosis,V1,1,0,0,2093.0
EVT_00081,2026-05-17 13:33:00,USER_048,HYBRID,Supplier Diagnosis,V1,1,1,0,2364.0
EVT_00082,2026-05-20 19:50:00,USER_081,HYBRID,Supplier Diagnosis,V1,1,0,0,2441.0
EVT_00083,2026-06-01 04:52:00,USER_041,HYBRID,Supplier Diagnosis,V1,0,1,1,2779.0
EVT_00084,2026-06-09 21:01:00,USER_083,SQL,KPI Lookup,V2,1,1,0,762.0
EVT_00085,2026-06-07 13:32:00,USER_078,SQL,KPI Lookup,V2,1,0,0,817.0
EVT_00086,2026-05-13 03:38:00,USER_099,SQL,KPI Lookup,V2,1,1,0,861.0
EVT_00087,2026-06-19 14:01:00,USER_052,RAG,Issue Investigation,V1,1,1,0,1750.0
EVT_00088,2026-05-11 09:48:00,USER_022,SQL,KPI Lookup,V1,1,1,0,873.0
EVT_00089,2026-06-10 03:28:00,USER_036,HYBRID,Supplier Diagnosis,V2,1,1,0,2752.0
EVT_00090,2026-05-13 01:42:00,USER_083,SQL,KPI Lookup,V1,1,1,0,859.0
EVT_00091,2026-05-28 08:20:00,USER_022,RAG,Issue Investigation,V1,1,1,0,1857.0
EVT_00092,2026-05-22 02:59:00,USER_071,HYBRID,Supplier Diagnosis,V1,0,0,1,2529.0
EVT_00093,2026-05-19 02:51:00,USER_061,HYBRID,Supplier Diagnosis,V1,1,1,0,2573.0
EVT_00094,2026-06-25 04:09:00,USER_057,RAG,Issue Investigation,V1,1,1,0,2102.0
EVT_00095,2026-06-29 15:54:00,USER_015,SQL,KPI Lookup,V2,1,1,0,869.0
EVT_00096,2026-05-28 11:29:00,USER_008,SQL,KPI Lookup,V1,1,1,0,300.0
EVT_00097,2026-05-25 14:05:00,USER_077,HYBRID,Supplier Diagnosis,V2,0,1,1,2492.0
EVT_00098,2026-05-09 07:17:00,USER_005,HYBRID,Supplier Diagnosis,V2,0,0,0,2412.0
EVT_00099,2026-05-11 21:42:00,USER_012,RAG,Issue Investigation,V1,1,1,0,1840.0
