incident_id,supplier_id,incident_date,severity,incident_type,description,resolution
INC00001,SUP001,2025-01-01,Medium,Capacity Issue,"Supplier capacity was insufficient for expected demand, driven partly by material availability constraints.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00002,SUP001,2025-01-02,High,SLA Breach,Supplier performance fell below the agreed SLA threshold. The primary concern was material availability constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00003,SUP001,2025-02-02,Medium,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",An improvement plan was agreed with fortnightly performance checkpoints.
INC00004,SUP001,2025-02-15,Medium,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",Additional staffing and management oversight were introduced.
INC00005,SUP001,2025-02-20,Medium,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside material availability constraints.,Supplier committed to weekly status updates and a corrective action plan.
INC00006,SUP001,2025-03-18,Critical,Communication Breakdown,Escalation handling was delayed because of communication gaps alongside material availability constraints.,Supplier committed to weekly status updates and a corrective action plan.
INC00007,SUP001,2025-03-09,Medium,Invoice Discrepancy,Multiple invoice discrepancies required manual correction. The supplier reported material availability constraints.,Additional staffing and management oversight were introduced.
INC00008,SUP001,2025-03-11,Medium,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",Additional staffing and management oversight were introduced.
INC00009,SUP001,2025-03-13,High,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",The issue was escalated to supplier leadership with a 30-day remediation target.
INC00010,SUP001,2025-04-20,Medium,Delivery Delay,"Repeated delivery delays were observed, with material availability constraints cited as a contributing factor.",Additional staffing and management oversight were introduced.
INC00011,SUP001,2025-05-12,High,System/Integration Issue,Operational processing was delayed by system/integration problems and material availability constraints.,The issue was escalated to supplier leadership with a 30-day remediation target.
INC00012,SUP001,2025-05-13,Low,System/Integration Issue,Operational processing was delayed by system/integration problems and material availability constraints.,An improvement plan was agreed with fortnightly performance checkpoints.
INC00013,SUP001,2025-05-13,Medium,System/Integration Issue,Operational processing was delayed by system/integration problems and material availability constraints.,Additional staffing and management oversight were introduced.
